ID Поста;Дата публикации;Текст;Количество лайков;Количество репостов;Количество просмотров;Количество комментариев;Хэш;Иллюстрации;Ссылка на видео;Ссылка на пост;Ссылка на группу;ТОНАЛЬНОСТЬ;ВЕРОЯТНОСТЬ;ВСЕГО КОММЕНТАРИЕВ;ПОЛОЖИТЕЛЬНЫХ;ОТРИЦАТЕЛЬНЫХ;НЕЙТРАЛЬНЫХ;НЕОПРЕДЕЛЕНО;РАЗГОВОРНАЯ;НУЛЕВЫХ;ТЕМАТИКА
909508;06.04.2022 13:49;"Умер Владимир Жириновский. 
 
Спикер Госдумы РФ Вячеслав Володин сообщил, что после тяжёлой и продолжительной болезни ушёл из жизни лидер ЛДПР Владимир Жириновский. 
 
""После тяжёлой и продолжительной болезни ушёл из жизни Владимир Вольфович Жириновский. Яркий, талантливый политик. Человек, который глубоко понимал как устроен мир и многое предвидел. Лидер фракции ЛДПР в Государственной Думе. Он всегда был в гуще событий. Его личность настолько масштабна, что без него трудно представить историю развития политической системы современной России"", - написал Володин в своем Telegram-канале. 
Он добавил, что оценка деятельности Жириновского — неизменная поддержка избирателей. 
 
""Для нас всех — это невосполнимая потеря. Пусть светлая память о нём всегда будет в наших сердцах"", - добавил Володин.";35;20;2086;22;ys8_bSIS6rD4khaSgzaYtR9kFkWL;https://sun9-67.userapi.com/impf/XBatq2ONLAF_7o4Ht8A0p_ED9yEVosdrjUvZ6g/YXc87rGBu0g.jpg?size=130x87&quality=95&sign=a3892a8a1d0f0dc1bce895e2f6a0bb0b&c_uniq_tag=hyZlN30yITW4YKODtbCRSkW_oVLQv_p92Jh-jKz3oXM&type=album;;https://vk.com/wall-65136365_909508;https://vk.com/club65136365;'neutral', 'negative', 'positive';0.33459946513175964, 0.2509227991104126, 0.2173475176095962;22;1;15;6;0;0;0;['жириновский', 'володин', 'владимир', 'продолжительная болезнь', 'жизнь', 'спикер госдумы рф']
909483;06.04.2022 9:35;"Российских водителей оштрафовали с камер наблюдения за 2021 год на рекордные 104 миллиарда рублей ??

При этом, оплатили штрафы только чуть больше половины нарушителей. В казну поступило 60,3 млрд рублей.

А у вас есть автомобиль? Часто получаете штрафы?";0;0;1615;10;4IjCe2O8cMvkILIMjbPRSAk-WGav;https://sun9-64.userapi.com/impf/7rIRC9m4MxenJAluVv1WzvYMyANVujJNwttDtg/ipbbtTrikww.jpg?size=130x87&quality=96&crop=153,0,1614,1080&sign=c34d8af456a88b7abb55e342bf7054ea&c_uniq_tag=Qk2RyQnedY2nCscOJf021eVYciHdqn_EebSZ051Yquo&type=album;;https://vk.com/wall-65136365_909483;https://vk.com/club65136365;'neutral', 'negative', 'skip';0.6926519870758057, 0.20690405368804932, 0.1037586331367492;10;0;7;3;0;0;0;['штрафы', 'рекордные 104 миллиарда рублей', '60,3 млрд рублей', 'российские водители', 'половина нарушителей', 'камеры наблюдения']
909467;06.04.2022 7:07;Народная примета: кто рано встаёт, тому целый день хочется спать!??;16;3;1211;9;NXu4DF90a1al8sgrY_RpVlnKkPuq;;;https://vk.com/wall-65136365_909467;https://vk.com/club65136365;'neutral', 'skip', 'negative';0.59267657995224, 0.13297423720359802, 0.0851090550422668;9;0;2;5;2;0;0;['целый день', 'народная примета']
909408;05.04.2022 21:31;Верите ли вы, что гороскопы влияют на судьбу и характер человека?;5;0;3321;54;QUYGSEmwfOeVowJ8zMnTlQvr8tuc;https://sun9-19.userapi.com/impf/c850728/v850728060/1d125f/I4neXvP_09I.jpg?size=130x87&quality=96&crop=205,0,2149,1438&sign=34db245320d98cd43c6d3f4b784b2c79&c_uniq_tag=GlsPCXeNIBeA0fwD4loUFfaHDP_8GUkB9Ih2HMG-Iv8&type=album;;https://vk.com/wall-65136365_909408;https://vk.com/club65136365;'neutral', 'negative', 'skip';0.8354935646057129, 0.23371636867523193, 0.0803674682974815;36;1;16;16;2;1;0;['характер человека', 'судьба', 'гороскопы']
909388;05.04.2022 19:01;Когда там уже лето? Хочется тепла и солнышка... ?;26;1;2685;1;H1dd3_wZtYqZEitvmK8BDQCrXBoo;https://sun1-85.userapi.com/impf/4yqdpQ_UN0KYwbNxfh7zlu9xj1iHVxp6qxGKlQ/nR5VruLehtc.jpg?size=130x87&quality=96&crop=104,0,1089,729&sign=2364293f210900854bd9816548578ff1&c_uniq_tag=WA51CEnAOyvaVQXaxOHUIeC26zHSduxxG5Fa83QaHgI&type=album;;https://vk.com/wall-65136365_909388;https://vk.com/club65136365;'neutral', 'positive', 'negative';0.16027602553367615, 0.06372499465942383, 0.0460439100861549;1;1;0;0;0;0;0;['тепло', 'солнышко', 'лето']
909350;05.04.2022 16:42;Сегодня в маршрутке 10 водитель не принял банковскую карту для оплаты проезда, в грубой форме сообщив, что нас всех предупреждали, я что-то пропустила? Или это самовольное решение водителя маршрутки, в любом случае, номер я зафиксировала, потому что обращался он по-хамски...;21;1;5036;47;F_TALlw_z2YflUDnWd6dTNBhb0Xj;https://sun9-33.userapi.com/impf/t4zyYadwV0sxKN9CsW2zP6QfVRBZi6sqTtkjwA/6w7HbYUuGQE.jpg?size=130x89&quality=95&sign=dc4e7ec3291a1b9a925b60c1ebbe1fa5&c_uniq_tag=3yk0mP5V6V_cGCr55jc973ehnscbicllQXTmnuGAvz8&type=album;;https://vk.com/wall-65136365_909350;https://vk.com/club65136365;'neutral', 'negative', 'skip';0.6150978803634644, 0.24509501457214355, 0.1645264774560928;31;0;19;12;0;0;0;['самовольное решение водителя', 'оплата проезда', 'любой случай', 'грубая форма', 'банковская карта', '10 водитель']
909301;05.04.2022 12:02;"В Госдуме предложили прожиточный минимум в 25 тысяч рублей?? 
 
Прожиточный минимум должен составлять 25 тысяч рублей, заявил депутат ГД Геннадий Зюганов. В нынешних условиях стране нужен новый курс и принципиально новая политика, уверен политик. 
 
«Прожиточный минимум должен быть 25 тысяч рублей. За 13300 никто не выживет. Без этого страна и дальше будет вымирать», - заявил Зюганов. 
 
Также глава КПРФ призвал принять закон о регулировании цен на социально значимые товары. Кроме того, расходы на оплату услуг ЖКХ должны быть не более 10% семейного дохода, считает политик. Необходимо, по мнению Зюганова, отменить пенсионную реформу и организовать достойный детский отдых. 

Как думаете примут такой закон?";107;11;11770;39;JozQ_BPSaDjXVftqDxG6bvBBX4By;https://sun9-26.userapi.com/impf/Py1OzGNZrj7vKhtYGYk-AZ1rQ1hYRuE3cpyltA/_ZBbJi7mT24.jpg?size=130x124&quality=95&sign=7c1634d8d5be31a27ce483362c322935&c_uniq_tag=JB1X7UwhKCJFE8s1DldWj8oUTdQNm5AyUfeZKLuq4UQ&type=album;;https://vk.com/wall-65136365_909301;https://vk.com/club65136365;'neutral', 'negative', 'skip';0.8479777574539185, 0.1732981950044632, 0.1037586331367492;32;1;14;12;0;5;0;['25 тысяч рублей', 'прожиточный минимум', 'страна', 'политик', 'зюганов', 'оплата услуг жкх']
909296;05.04.2022 11:00;"Ночной ДоZop [club211532685|@noch_dozor] — это активный и незабываемый отдых для взрослых и детей 10+ в г. Щелково! ?? 
 
Мы предлагаем Вам окунуться в мир темноты, экшена и страха чтобы сделать любой праздник (день рождения, выпукной, корпоратив, тимбилдинг) веселым, интересным и незабываемым?? 
 
Вас ждут: Лазертаг ?? и Прятки в темноте ! ?? 
 
Такие развлечения подойдут всем: и детям и взрослым! Поэтому ждем Вас к нам в гости на Ваш лучший праздник!???? 
 
?? Дарим промокод «Страшно интересно» на скидку 10% ? на весь ассортимент услуг?? 
 
Г.Щелково, 1-ый Советский переулок д.25, БЦ «Славия», 3 этаж. +7 (985) 364-91-94 
 
#лазертагщелково, #лазертагфрязино, #лазертагртс, #лазертагпраздник, #детскийденьрождениящелково, #детскийденьрожденияфрязино, #детскийклубфрязино, #детскийклубщелково, #детскаяанимациящелково, #анимацияфрязино, #детскиеаниматорыфрязино, #фрязино, #щелково, #аниматорфрязино, #аниматорщелково, #детскийклубкоролев, #аниматорыкоролев";2;0;1657;0;YAez8UgKIUVzHPgIw88bN2Ee9yNQ;;https://i.mycdn.me/getVideoPreview?id=2287807564506&idx=2&type=39&tkn=Cv486-hRv0TihX2wd3-swKOy1zs&fn=vid_s;https://vk.com/wall-65136365_909296;https://vk.com/club65136365;'neutral', 'positive', 'speech';0.348655104637146, 0.15611489117145538, 0.0851090550422668;0;0;0;0;0;0;0;['щёлково', 'дети', 'взрослые', 'весь ассортимент услуг', 'ваш наихороший праздник', '1-й советский переулок']
909290;05.04.2022 9:31;"Разработчик World of Tanks объявил об уходе из России и Белоруссии 
Wargaming передала свой бизнес в России и Белоруссии руководству Lesta Studio, которая больше не связана с основной компанией, а также начала процесс закрытия своей студии в Минске 
 
«В течение последних недель Wargaming проводила стратегический обзор бизнес-операций по всему миру. Компания решила, что не будет владеть или управлять каким-либо бизнесом в России и Белоруссии и покинет обе страны», — сказано в сообщении. 
 
Компания указывает, что еще 31 марта передала свой игровой бизнес в России и Белоруссии местному руководству Lesta Studio, которая больше не связана с Wargaming. Там также пообещали пользователям из двух стран сохранение доступа к играм «в течение переходного периода».";6;11;3689;14;dGMA-W3mDcVH2SeAstZLpiD6YEiH;https://sun9-80.userapi.com/impf/GzVhIrgFu8jNDIyMroTxihM9ch3v4JA31SlEJQ/Bj_mj15DfQs.jpg?size=130x86&quality=95&sign=6d8903b81cd86cc2b00b618db83d3653&c_uniq_tag=9b-aF4BObKLpRHjibccQOsiaat7ZyXG1zgOjFDjy94c&type=album;;https://vk.com/wall-65136365_909290;https://vk.com/club65136365;'neutral', 'negative', 'skip';0.8080772161483765, 0.21207880973815918, 0.0875738412141799;14;1;7;6;0;0;0;['россия', 'белоруссия', 'течение', 'компания', 'разработчик world of tanks', 'местное руководство lesta studio']
909286;05.04.2022 7:05;"Акция пройдет в КДЦ «Навигатор» по адресу: улица Талсинская, дом №64.

На акции будут принимать макулатуру и картон, тетрапак и пульперкартон, твердый пластик с маркировкой 1, 2, 4, 5, 6, стекло и металл.

В связи с ограниченным количеством волонтеров пока не принимают мягкий пластик (пакеты) и разную мелочь (блистеры, трубочки, чеки и прочее).";3;2;2208;3;JHaLYl4lx7TtlpRekeoHoL8Nmmxl;https://sun9-40.userapi.com/impf/5GSoh1xE0yc3xpkpIATr2yRq7iwqjL-ZiCgqHQ/sd36BWuwAqw.jpg?size=130x130&quality=96&sign=5025dddd5df2de9c6cf19ebae33ffdae&c_uniq_tag=9amXYk1n9GH-5I_MI5Aggcr7_f_Kfbdc-jbtSg8qotY&type=album;;https://vk.com/wall-65136365_909286;https://vk.com/club65136365;'neutral', 'negative', 'skip';0.6297846436500549, 0.21207880973815918, 0.1441588550806045;3;0;0;2;0;1;0;['ограниченный количество волонтёров', 'твёрдый пластик', 'разная мелочь', 'мягкий пластик', 'чеки', 'улица']
